"Image Optimizer","Image Optimizer"
"General Settings","General Settings"
"Enable Image Optimizer","Enable Image Optimizer"
"Master switch for all frontend image optimizations (lazy loading, WebP detection, performance hints).","Master switch for all frontend image optimizations (lazy loading, WebP detection, performance hints)."
"Enable Debug Mode","Enable Debug Mode"
"Log image optimization activity to the browser console (disable in production).","Log image optimization activity to the browser console (disable in production)."
"WebP Detection (Frontend Only)","WebP Detection (Frontend Only)"
"Enable WebP Detection","Enable WebP Detection"
"Detect browser WebP support via JavaScript. When unsupported, removes WebP source elements so the browser falls back to PNG/JPG. Does NOT perform server-side conversion.","Detect browser WebP support via JavaScript. When unsupported, removes WebP source elements so the browser falls back to PNG/JPG. Does NOT perform server-side conversion."
"Enable Fallback Behavior","Enable Fallback Behavior"
"When WebP is not supported, strip WebP source tags from picture elements so the browser loads the fallback image.","When WebP is not supported, strip WebP source tags from picture elements so the browser loads the fallback image."
"Lazy Loading","Lazy Loading"
"Enable Lazy Loading","Enable Lazy Loading"
"Delay loading offscreen images until they approach the viewport.","Delay loading offscreen images until they approach the viewport."
"Loading Strategy","Loading Strategy"
"Native: adds loading=""lazy"" attribute (best compatibility). Intersection Observer: JS-based with fade-in support. Hybrid: both.","Native: adds loading=""lazy"" attribute (best compatibility). Intersection Observer: JS-based with fade-in support. Hybrid: both."
"Threshold (pixels)","Threshold (pixels)"
"Start loading images this many pixels before they enter the viewport. Only applies to Intersection Observer strategy.","Start loading images this many pixels before they enter the viewport. Only applies to Intersection Observer strategy."
"Placeholder Type","Placeholder Type"
"Visual placeholder shown while an image is loading. Only applies to Intersection Observer strategy.","Visual placeholder shown while an image is loading. Only applies to Intersection Observer strategy."
"Enable Fade-In Effect","Enable Fade-In Effect"
"Smoothly fade images in when they finish loading. Only applies to Intersection Observer strategy.","Smoothly fade images in when they finish loading. Only applies to Intersection Observer strategy."
"Exclude Above-the-Fold Images","Exclude Above-the-Fold Images"
"Skip lazy loading for the first N images on the page to improve LCP (Largest Contentful Paint).","Skip lazy loading for the first N images on the page to improve LCP (Largest Contentful Paint)."
"Exclude First N Images","Exclude First N Images"
"Number of images at the top of the page to load immediately (not lazy loaded).","Number of images at the top of the page to load immediately (not lazy loaded)."
"Performance Settings","Performance Settings"
"Preload Critical Images","Preload Critical Images"
"Dynamically inject link rel=""preload"" tags for the first N images on the page to improve LCP.","Dynamically inject link rel=""preload"" tags for the first N images on the page to improve LCP."
"Preload Image Count","Preload Image Count"
"Number of images to preload (recommended: 1-2).","Number of images to preload (recommended: 1-2)."
"Async Image Decoding","Async Image Decoding"
"Add decoding=""async"" to all images so the browser decodes them off the main thread.","Add decoding=""async"" to all images so the browser decodes them off the main thread."
"Use fetchpriority Attribute","Use fetchpriority Attribute"
"Set fetchpriority=""high"" on critical images to hint the browser to download them first (Chrome 101+).","Set fetchpriority=""high"" on critical images to hint the browser to download them first (Chrome 101+)."
"None","None"
"Blur Effect (LQIP)","Blur Effect (LQIP)"
"Dominant Color","Dominant Color"
"Loading Spinner","Loading Spinner"
"SVG Placeholder","SVG Placeholder"
"Native (loading=""lazy"" attribute)","Native (loading=""lazy"" attribute)"
"Intersection Observer (JavaScript)","Intersection Observer (JavaScript)"
"Hybrid (Native + Intersection Observer)","Hybrid (Native + Intersection Observer)"
"Configuration","Configuration"
